,date,volume (9L)
1,2012-01-01,58.0
3,2012-02-01,117.0
5,2012-03-01,93.0
7,2012-04-01,108.0
9,2012-05-01,195.0
11,2012-06-01,188.0
13,2012-07-01,214.0
15,2012-08-01,175.0
17,2012-09-01,230.0
19,2012-10-01,314.0
21,2012-11-01,171.0
23,2012-12-01,231.0
25,2013-01-01,133.0
27,2013-02-01,151.0
29,2013-03-01,144.0
31,2013-04-01,232.0
33,2013-05-01,246.0
35,2013-06-01,301.0
37,2013-07-01,416.0
39,2013-08-01,357.0
41,2013-09-01,457.0
43,2013-10-01,327.0
45,2013-11-01,329.0
47,2013-12-01,348.0
49,2014-01-01,1098.0
51,2014-02-01,369.0
53,2014-03-01,322.0
55,2014-04-01,403.0
57,2014-05-01,338.0
59,2014-06-01,520.0
61,2014-07-01,592.0
63,2014-08-01,444.0
65,2014-09-01,602.0
67,2014-10-01,537.0
69,2014-11-01,359.0
71,2014-12-01,756.0
73,2015-01-01,477.0
75,2015-02-01,619.0
77,2015-03-01,584.0
79,2015-04-01,575.0
81,2015-05-01,670.0
83,2015-06-01,854.0
85,2015-07-01,727.0
87,2015-08-01,727.0
89,2015-09-01,1177.0
91,2015-10-01,504.0
93,2015-11-01,724.0
95,2015-12-01,991.0
97,2016-01-01,547.0
99,2016-02-01,899.0
101,2016-03-01,634.0
103,2016-04-01,929.0
105,2016-05-01,776.0
107,2016-06-01,1474.0
109,2016-07-01,1172.0
111,2016-08-01,935.0
113,2016-09-01,1778.0
115,2016-10-01,740.0
117,2016-11-01,1382.0
119,2016-12-01,1182.0
121,2017-01-01,631.0
123,2017-02-01,2307.0
125,2017-03-01,753.0
127,2017-04-01,1170.0
129,2017-05-01,1097.0
131,2017-06-01,1848.0
133,2017-07-01,1880.0
135,2017-08-01,1527.0
137,2017-09-01,1865.0
139,2017-10-01,1016.0
141,2017-11-01,2178.0
143,2017-12-01,1178.0
145,2018-01-01,1102.0
147,2018-02-01,1729.0
149,2018-03-01,920.0
151,2018-04-01,1857.0
153,2018-05-01,2364.0
155,2018-06-01,2228.0
157,2018-07-01,2647.0
159,2018-08-01,2070.0
161,2018-09-01,2033.0
163,2018-10-01,1866.0
165,2018-11-01,2908.0
167,2018-12-01,1559.0
169,2019-01-01,1886.0
171,2019-02-01,1045.0
173,2019-03-01,1628.0
175,2019-04-01,1913.0
177,2019-05-01,1602.0
179,2019-06-01,3236.0
181,2019-07-01,2583.0
183,2019-08-01,1589.0
185,2019-09-01,2168.0
187,2019-10-01,3354.0
189,2019-11-01,2702.0
191,2019-12-01,2756.0
193,2020-01-01,2021.0
195,2020-02-01,1039.0
197,2020-03-01,2863.0
199,2020-04-01,2614.0
201,2020-05-01,2654.0
203,2020-06-01,4083.0
205,2020-07-01,2946.0
207,2020-08-01,1778.0
209,2020-09-01,3657.0
211,2020-10-01,2964.0
213,2020-11-01,1811.0
215,2020-12-01,3052.0
217,2021-01-01,2163.0
219,2021-02-01,1427.0
221,2021-03-01,3350.0
223,2021-04-01,2223.0
225,2021-05-01,2381.0
227,2021-06-01,4229.0
229,2021-07-01,2634.0
231,2021-08-01,2017.0
233,2021-09-01,2888.0
235,2021-10-01,3681.0
237,2021-11-01,2339.0
239,2021-12-01,3395.0
241,2022-01-01,2076.0
243,2022-02-01,1343.0
245,2022-03-01,2872.0
247,2022-04-01,2034.0
249,2022-05-01,2324.0
251,2022-06-01,4352.0
253,2022-07-01,2511.0
255,2022-08-01,2221.0
257,2022-09-01,3371.0
259,2022-10-01,2883.0
261,2022-11-01,2479.0
263,2022-12-01,4055.0
