year,month,day,sum_sale_dollars
2012,1,3,1012493.81
2012,1,4,860053.73
2012,1,5,940194.93
2012,1,9,933835.50
2012,1,10,900077.61
2012,1,11,773739.73
2012,1,12,927338.66
2012,1,16,968646.52
2012,1,17,921105.56
2012,1,18,850387.49
2012,1,19,1021175.90
2012,1,23,985418.41
2012,1,24,1013018.29
2012,1,25,764709.31
2012,1,26,1016554.79
2012,1,27,796.36
2012,1,30,986696.53
2012,1,31,1039951.09
2012,2,1,906994.66
2012,2,2,1218272.00
2012,2,6,1165230.55
2012,2,7,1128346.52
2012,2,8,986933.91
2012,2,9,1150050.09
2012,2,13,1039052.15
2012,2,14,1016829.68
2012,2,15,962829.31
2012,2,16,1132707.00
2012,2,20,1135350.79
2012,2,21,1105654.40
2012,2,22,998421.72
2012,2,23,1167089.78
2012,2,27,1070445.68
2012,2,28,1028812.83
2012,2,29,903083.00
2012,3,1,1104030.10
2012,3,5,1140722.75
2012,3,6,1169223.92
2012,3,7,835542.53
2012,3,8,1222264.95
2012,3,9,2886.24
2012,3,12,1179680.47
2012,3,13,1158657.89
2012,3,14,977886.06
2012,3,15,1250720.77
2012,3,16,1050.84
2012,3,19,1030487.28
2012,3,20,1102468.99
2012,3,21,1046650.11
2012,3,22,1066902.67
2012,3,26,1001267.19
2012,3,27,1022503.77
2012,3,28,821053.92
2012,3,29,1005545.30
2012,4,2,1142873.50
2012,4,3,1359746.08
2012,4,4,1080255.92
2012,4,5,1330857.28
2012,4,9,1169076.64
2012,4,10,1269591.63
2012,4,11,1187375.85
2012,4,12,1232872.57
2012,4,16,1154192.31
2012,4,17,1195865.23
2012,4,18,1116240.86
2012,4,19,1182052.47
2012,4,23,1042705.90
2012,4,24,1199155.29
2012,4,25,924659.82
2012,4,26,1117871.85
2012,4,27,36212.32
2012,4,30,1263291.45
2012,5,1,1212779.96
2012,5,2,1003063.74
2012,5,3,1322831.96
2012,5,7,1220915.19
2012,5,8,1200461.66
2012,5,9,970187.71
2012,5,10,1211077.45
2012,5,11,324.00
2012,5,14,1072931.48
2012,5,15,1213046.77
2012,5,16,1057187.60
2012,5,17,1225797.08
2012,5,21,1177429.49
2012,5,22,1418037.84
2012,5,23,1059972.54
2012,5,24,1340162.92
2012,5,25,872449.55
2012,5,29,1245606.76
2012,5,30,1011376.05
2012,5,31,1357881.49
2012,6,1,1607.52
2012,6,4,1538532.06
2012,6,5,1292638.08
2012,6,6,1311727.28
2012,6,7,1218139.27
2012,6,11,1440888.79
2012,6,12,1315053.31
2012,6,13,1546636.71
2012,6,14,1217510.61
2012,6,18,1316963.00
2012,6,19,1410200.91
2012,6,20,910995.37
2012,6,21,1165311.41
2012,6,22,5482.18
2012,6,25,1404033.22
2012,6,26,1850000.11
2012,6,27,1379518.37
2012,6,28,1508343.98
2012,6,29,25320.89
2012,7,2,1231434.56
2012,7,3,1171510.96
2012,7,5,1026464.02
2012,7,6,1086736.07
2012,7,9,1209038.76
2012,7,10,1250884.62
2012,7,11,926596.91
2012,7,12,1091996.09
2012,7,16,1239308.52
2012,7,17,1230606.46
2012,7,18,1137970.78
2012,7,19,1267423.15
2012,7,20,674.40
2012,7,23,1201978.87
2012,7,24,1102184.97
2012,7,25,958471.09
2012,7,26,1030437.89
2012,7,27,3279.76
2012,7,30,1223242.96
2012,7,31,1307122.94
2012,8,1,890090.37
2012,8,2,1195254.93
2012,8,3,576.42
2012,8,6,1147834.89
2012,8,7,1283068.45
2012,8,8,981060.16
2012,8,9,1176787.12
2012,8,13,1195675.75
2012,8,14,1127417.28
2012,8,15,954955.52
2012,8,16,1166448.56
2012,8,20,1085723.89
2012,8,21,1159559.04
2012,8,22,1013038.92
2012,8,23,1135299.29
2012,8,27,1166197.43
2012,8,28,1451140.27
2012,8,29,1118281.92
2012,8,30,1356271.59
2012,8,31,926601.04
2012,9,4,1454309.23
2012,9,5,1103036.95
2012,9,6,1486810.27
2012,9,7,152.04
2012,9,10,1618074.30
2012,9,11,1430524.60
2012,9,12,1321205.10
2012,9,13,1232001.18
2012,9,14,854.73
2012,9,17,1133464.72
2012,9,18,1183565.67
2012,9,19,872743.11
2012,9,20,1115748.85
2012,9,21,920.52
2012,9,24,1039466.71
2012,9,25,1125510.86
2012,9,26,1023116.25
2012,9,27,1046948.06
2012,10,1,1272966.41
2012,10,2,1512145.24
2012,10,3,1195072.17
2012,10,4,1453418.40
2012,10,5,1954824.23
2012,10,8,1436466.05
2012,10,9,1474293.74
2012,10,10,1240659.26
2012,10,11,1426089.83
2012,10,12,1632339.98
2012,10,15,1408855.55
2012,10,16,1472465.47
2012,10,17,1576441.32
2012,10,18,1375042.27
2012,10,19,1921336.21
2012,10,22,1225686.30
2012,10,23,1214988.51
2012,10,24,1471443.63
2012,10,25,1270153.30
2012,10,26,1846024.42
2012,10,29,1204271.27
2012,10,30,1197675.44
2012,10,31,931294.93
2012,11,1,1023250.79
2012,11,2,198.00
2012,11,5,1080014.87
2012,11,6,1170085.03
2012,11,7,1092897.39
2012,11,8,1271036.67
2012,11,12,1202868.13
2012,11,13,1122437.72
2012,11,14,1088524.78
2012,11,15,1364467.00
2012,11,16,856903.92
2012,11,17,1080276.97
2012,11,19,1062086.37
2012,11,20,1087900.66
2012,11,21,47406.08
2012,11,26,1439202.83
2012,11,27,1440212.32
2012,11,28,1075135.34
2012,11,29,1273610.05
2012,12,3,1487537.79
2012,12,4,1190413.46
2012,12,5,1017236.91
2012,12,6,1270931.96
2012,12,10,1528430.65
2012,12,11,1559674.10
2012,12,12,1745332.61
2012,12,13,1536578.92
2012,12,14,1912.84
2012,12,17,1696519.59
2012,12,18,1660066.20
2012,12,19,1528877.32
2012,12,20,1552564.63
2012,12,21,1217195.70
2012,12,24,1634365.68
2012,12,26,1266270.92
2012,12,27,1602321.59
2012,12,28,1360166.76
2012,12,31,1208182.00
2013,1,2,826293.72
2013,1,3,1145793.15
2013,1,7,1139529.56
2013,1,8,1042754.61
2013,1,9,818801.40
2013,1,10,945299.62
2013,1,14,1036500.57
2013,1,15,943113.24
2013,1,16,849009.28
2013,1,17,1018633.50
2013,1,21,992762.05
2013,1,22,1020890.66
2013,1,23,886708.32
2013,1,24,1118493.51
2013,1,25,1974.00
2013,1,28,1073388.10
2013,1,29,1053056.88
2013,1,30,851115.16
2013,1,31,1074732.79
2013,2,4,1173355.50
2013,2,5,1176898.52
2013,2,6,979188.54
2013,2,7,1284407.06
2013,2,8,1130.88
2013,2,11,1111755.51
2013,2,12,1139808.43
2013,2,13,1349704.14
2013,2,14,1229363.34
2013,2,18,1141825.24
2013,2,19,1087255.57
2013,2,20,862261.37
2013,2,21,1183853.76
2013,2,22,2105.56
2013,2,25,1203117.02
2013,2,26,1168684.77
2013,2,27,1028803.95
2013,2,28,1135086.54
2013,3,4,1203606.80
2013,3,5,1184093.94
2013,3,6,882481.20
2013,3,7,1273253.62
2013,3,11,1227524.11
2013,3,12,1304245.17
2013,3,13,1094880.58
2013,3,14,1330232.48
2013,3,15,6838.92
2013,3,18,1157228.51
2013,3,19,1086065.51
2013,3,20,936591.99
2013,3,21,1127906.10
2013,3,25,1183278.12
2013,3,26,1124207.18
2013,3,27,962504.86
2013,3,28,1136604.45
2013,4,1,1208604.37
2013,4,2,1299789.32
2013,4,3,920394.21
2013,4,4,1293669.40
2013,4,8,1383420.00
2013,4,9,1415541.33
2013,4,10,1235589.99
2013,4,11,1322607.10
2013,4,15,1173363.04
2013,4,16,1195489.40
2013,4,17,871369.97
2013,4,18,1209664.09
2013,4,19,922.32
2013,4,22,1287994.91
2013,4,23,1124117.25
2013,4,24,943615.38
2013,4,25,1365051.07
2013,4,29,1532049.74
2013,4,30,1378787.80
2013,5,1,978562.83
2013,5,2,1211796.79
2013,5,3,847.44
2013,5,6,1278555.59
2013,5,7,1405943.89
2013,5,8,1294787.18
2013,5,9,1242454.09
2013,5,10,4228.80
2013,5,13,1275603.06
2013,5,14,1251087.57
2013,5,15,978561.67
2013,5,16,1264035.29
2013,5,20,1258532.21
2013,5,21,1416032.01
2013,5,22,1093872.02
2013,5,23,1391595.20
2013,5,24,20809.68
2013,5,28,1370582.84
2013,5,29,1370904.84
2013,5,30,1008996.78
2013,5,31,1291534.80
2013,6,3,1126741.59
2013,6,4,1274891.81
2013,6,5,1112040.23
2013,6,6,1241798.43
2013,6,7,900.00
2013,6,10,1283807.66
