date,month,volume (9L),weights,weighted_forecast,year,forecast
1/1/23,1,12192,0.06192699,2007.975876,2023,2090.8699
2/1/23,2,11045,0.056101017,1819.069353,2023,1480.8588
3/1/23,3,14163,0.071938317,2332.592055,2023,3228.838
4/1/23,4,14058,0.071404989,2315.298955,2023,2253.9106
5/1/23,5,14647,0.074396705,2412.305008,2023,2386.1042
6/1/23,6,23313,0.118414035,3839.562138,2023,4114.8164
7/1/23,7,18322,0.093063182,3017.563484,2023,2634.6106
8/1/23,8,13840,0.070297699,2279.395187,2023,2052.8564
9/1/23,9,20226,0.102734194,3331.145018,2023,2924.5378
10/1/23,10,18186,0.092372395,2995.164803,2023,3558.8325
11/1/23,11,17382,0.088288627,2862.749071,2023,2396.9036
12/1/23,12,19503,0.099061851,3212.069677,2023,3301.753
